#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2022-07-08T00:50:59 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ62c77f2d143f3	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:J/AJ/157/12&tab:{J/AJ/157/12/table3}&key:source=J/AJ/157/12/table3&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/157/12/table3
#-order=I
#-out=GLON
#-out=GLAT
#-out=RAJ2000
#-out=DEJ2000
#-out=Diam-a
#-out=Diam-b
#-out=Name
#-out=Class1
#-out=Class2
#

#RESOURCE=yCat_51570012
#Name: J/AJ/157/12
#Title: Star clusters, associations, & candidates in the MW (Bica+, 2019)
#Table	J_AJ_157_12_table3:
#Name: J/AJ/157/12/table3
#Title: Clusters, candidates and alike objects
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	GLON	(F6.2)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	RAJ2000	(A8)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Diam-a	(F7.2)	[0.01/4560] Major axis diameter	[ucd=phys.angSize]
#Column	Diam-b	(F7.2)	[0.01/2400] Minor axis diameter	[ucd=phys.angSize]
#Column	Name	(a112)	Chronologically ordered cross-identified designation(s)	[ucd=meta.id.cross]
#Column	Class1	(a5)	Object type (G1)	[ucd=src.class]
#Column	Class2	(A5)	Possible second object type (G1)	[ucd=src.class]
_RAJ2000|_DEJ2000|GLON|GLAT|RAJ2000|DEJ2000|Diam-a|Diam-b|Name|Class1|Class2
053.17083|+52.64361|146.07| -2.83|03 32 41|+52 38 37|   8.00|   8.00|Berkeley 9,OCL 388,FSR 646,MWSC 286                                                                             |OC   |lPOCR
059.80833|+57.23306|146.27|  3.13|03 59 14|+57 13 59|   3.00|   3.00|FSR 647,Alicante 1,MWSC 322,MWSC 323                                                                            |EC   |
063.45417|+58.97194|146.53|  5.71|04 13 49|+58 58 19|   4.00|   3.00|Cmg 803                                                                                                         |EC   |
060.91667|+57.51389|146.53|  3.73|04 03 40|+57 30 50|   1.00|   1.00|Teutsch J0403.6+5730                                                                                            |cPOCR|Ast
048.69583|+47.23056|146.66| -8.93|03 14 47|+47 13 50|  11.00|   9.00|NGC 1245,Melotte 18,Collinder 38,OCL 389,FSR 648,MWSC 264                                                       |OC   |
053.10417|+51.44833|146.73| -3.83|03 32 25|+51 26 54|   6.00|   6.00|Santa 24                                                                                                        |Ast  |
046.48750|+44.38250|146.82|-12.16|03 05 57|+44 22 57|   4.00|   4.00|NGC 1193,Collinder 35,OCL 390,FSR 649,MWSC 256                                                                  |OC   |
037.09167|+29.79667|146.85|-28.53|02 28 22|+29 47 48|  30.00|  30.00|Teutsch J0228.3+2947,12 Tri Group,Alessi J0228.3+2947                                                           |Ast  |
053.53750|+51.40972|146.97| -3.70|03 34 09|+51 24 35|   6.00|   4.50|NGC 1348,OCL 391,FSR 650,MWSC 289                                                                               |OC   |
060.60417|+56.62194|146.99|  2.95|04 02 25|+56 37 19| 210.00| 210.00|CamOB3,II Cam,Cam III,Assoc 45,MWSC 325                                                                         |Assoc|
056.82500|+53.90972|147.07| -0.51|03 47 18|+53 54 35|   5.00|   5.00|Juchert 11,DSH J0347.3+5354,FSR 651,MWSC 304                                                                    |OC   |
051.15417|+48.70000|147.26| -6.80|03 24 37|+48 42 00|   5.00|   3.00|Patchick 43                                                                                                     |Ast  |lPOCR
051.47500|+48.88611|147.33| -6.53|03 25 54|+48 53 10| 185.00| 185.00|alpha Persei,Melotte 20,Collinder 39,OCL 392,MWSC 274                                                           |EC   |Assoc
056.37083|+52.89361|147.48| -1.48|03 45 29|+52 53 37|   2.30|   2.30|Gaia 4                                                                                                          |EC   |
064.72083|+58.25139|147.51|  5.66|04 18 53|+58 15 05|   9.00|   9.00|IC 361,Melotte 24,Collinder 48,OCL 393,FSR 652,MWSC 362                                                         |OC   |
071.13333|+61.20083|147.52| 10.03|04 44 32|+61 12 03|   8.00|   8.00|Cmg 1                                                                                                           |EC   |
059.24167|+54.74972|147.63|  1.03|03 56 58|+54 44 59|   6.00|   6.00|Cmg 804,Froebrich 78                                                                                            |EC   |
055.63333|+52.05333|147.64| -2.42|03 42 32|+52 03 12|   1.00|   1.00|Teutsch 193                                                                                                     |OCC  |
070.10833|+60.46139|147.77|  9.17|04 40 26|+60 27 41|  10.00|  10.00|Maj 49,Majaess 49                                                                                               |EC   |
059.57917|+54.66083|147.84|  1.09|03 58 19|+54 39 39|   7.00|   7.00|Cmg 805                                                                                                         |EC   |
070.70833|+60.56278|147.88|  9.46|04 42 50|+60 33 46|   9.00|   9.00|Cmg 2                                                                                                           |EC   |
058.88750|+54.02444|147.94|  0.35|03 55 33|+54 01 28|   8.00|   8.00|FSR 654,MWSC 314                                                                                                |EC   |
060.95417|+55.41972|147.94|  2.18|04 03 49|+55 25 11|  12.00|  12.00|FSR 653,MWSC 331                                                                                                |OC   |
058.20417|+53.48472|147.98| -0.33|03 52 49|+53 29 05|   6.00|   6.00|Bica 238                                                                                                        |ECC  |
058.39167|+53.60444|147.98| -0.17|03 53 34|+53 36 16|   6.00|   6.00|Maj 37,Majaess 37                                                                                               |EC   |
052.76667|+48.94472|147.99| -6.00|03 31 04|+48 56 41| 300.00| 210.00|PerOB3,III Per,Per III,Assoc 46                                                                                 |Assoc|
058.19167|+53.44806|147.99| -0.36|03 52 46|+53 26 53|  18.00|  13.00|LMR 138                                                                                                         |Assoc|
071.36667|+60.69028|147.99|  9.79|04 45 28|+60 41 25|  10.00|  10.00|Cmg 3                                                                                                           |EC   |
058.42500|+53.58472|148.01| -0.17|03 53 42|+53 35 05|   5.00|   5.00|Cmg 806                                                                                                         |EC   |
059.32083|+54.18556|148.03|  0.63|03 57 17|+54 11 08|   5.00|   5.00|Maj 40,Majaess 40                                                                                               |EC   |
058.72917|+53.74639|148.05|  0.07|03 54 55|+53 44 47|   3.00|   3.00|Maj 38,Majaess 38                                                                                               |EC   |
058.90000|+53.81028|148.08|  0.19|03 55 36|+53 48 37|   4.00|   2.50|Bica 239                                                                                                        |EC   |
057.34583|+52.64306|148.10| -1.31|03 49 23|+52 38 35|   6.00|   6.00|NGC 1444,Collinder 43,OCL 394,MWSC 308                                                                          |OC   |
058.87500|+53.76194|148.10|  0.14|03 55 30|+53 45 43|   6.00|   6.00|Cmg 807                                                                                                         |EC   |
059.06667|+53.86889|148.12|  0.29|03 56 16|+53 52 08|  12.00|  12.00|FSR 655,SAI 32,Maj 39,Majaess 39,MWSC 315                                                                       |EC   |
058.85417|+53.72472|148.12|  0.10|03 55 25|+53 43 29|   1.90|   1.90|Bica 240                                                                                                        |EC   |
059.19583|+53.90917|148.16|  0.37|03 56 47|+53 54 33|   6.00|   6.00|Cmg 808                                                                                                         |EC   |
061.40000|+55.27361|148.22|  2.24|04 05 36|+55 16 25|   2.50|   2.00|Cmg 809                                                                                                         |EC   |
058.49583|+53.21611|148.28| -0.42|03 53 59|+53 12 58|   6.00|   6.00|Cmg 810                                                                                                         |EC   |
093.90000|+66.15667|148.28| 21.16|06 15 36|+66 09 24|   5.00|   5.00|Juchert 5                                                                                                       |OCC  |
058.42083|+52.96972|148.40| -0.64|03 53 41|+52 58 11|   5.00|   5.00|Cmg 812                                                                                                         |ECC  |
059.40833|+53.68278|148.40|  0.28|03 57 38|+53 40 58|   6.00|   6.00|Cmg 811                                                                                                         |EC   |
058.72083|+53.16694|148.41| -0.38|03 54 53|+53 10 01|   6.00|   6.00|Cmg 813                                                                                                         |EC   |
061.43333|+54.91083|148.48|  1.98|04 05 44|+54 54 39|   6.00|   6.00|Cmg 814                                                                                                         |EC   |
060.47500|+54.27333|148.49|  1.14|04 01 54|+54 16 24|   7.00|   7.00|Cmg 815                                                                                                         |EC   |
050.35417|+45.62222|148.51| -9.66|03 21 25|+45 37 20|   5.00|   4.00|Patchick 2,Patchick-C2                                                                                          |Ast  |cPOCR
061.46667|+54.85278|148.53|  1.95|04 05 52|+54 51 10|   4.00|   4.00|Cmg 816                                                                                                         |EC   |
061.47083|+54.85139|148.54|  1.95|04 05 53|+54 51 05|   7.00|   7.00|Maj 43,Majaess 43                                                                                               |EC   |
061.75417|+54.98944|148.56|  2.16|04 07 01|+54 59 22|   6.00|   6.00|Cmg 818                                                                                                         |EC   |
061.36667|+54.75056|148.56|  1.84|04 05 28|+54 45 02|   2.50|   2.50|Cmg 817                                                                                                         |EC   |
059.72083|+53.63167|148.57|  0.36|03 58 53|+53 37 54|   6.00|   6.00|FSR 656,MWSC 320                                                                                                |OC   |
058.12083|+52.45028|148.59| -1.16|03 52 29|+52 27 01|   9.00|   9.00|Teutsch 194                                                                                                     |OCC  |
081.52083|+63.30000|148.63| 15.18|05 26 05|+63 18 00|   4.00|   4.00|Renou 22                                                                                                        |OCC  |cPOCR
061.72500|+54.84722|148.65|  2.05|04 06 54|+54 50 50|   6.00|   6.00|Cmg 819                                                                                                         |EC   |
061.95833|+54.92611|148.70|  2.20|04 07 50|+54 55 34|   5.00|   5.00|Cmg 820                                                                                                         |EC   |
067.25417|+57.83333|148.75|  6.32|04 29 01|+57 50 00|   1.50|   1.50|Ferrero 30                                                                                                      |Ast  |cPOCR
060.36250|+53.72222|148.80|  0.68|04 01 27|+53 43 20|   2.00|   2.00|Cmg 821,Froebrich 1                                                                                             |EC   |
058.69583|+52.54417|148.80| -0.87|03 54 47|+52 32 39|  40.00|  40.00|Santa 27                                                                                                        |Ast  |
061.95833|+54.75944|148.81|  2.07|04 07 50|+54 45 34|   5.00|   5.00|Cmg 822                                                                                                         |EC   |
061.90000|+54.68667|148.83|  2.00|04 07 36|+54 41 12|   4.50|   4.50|Cmg 824                                                                                                         |EC   |
058.31667|+52.21611|148.83| -1.27|03 53 16|+52 12 58|   4.00|   4.00|Cmg 823                                                                                                         |EC   |
061.95833|+54.68750|148.86|  2.02|04 07 50|+54 41 15|   3.00|   2.00|Cmg 825                                                                                                         |EC   |
062.55000|+55.01306|148.89|  2.49|04 10 12|+55 00 47|   7.00|   7.00|Cmg 826                                                                                                         |EC   |
061.35000|+54.02111|149.04|  1.29|04 05 24|+54 01 16|   5.00|   5.00|Cmg 827                                                                                                         |EC   |
060.39583|+53.36250|149.05|  0.42|04 01 35|+53 21 45|   5.00|   5.00|Cmg 828                                                                                                         |EC   |
057.89167|+51.49861|149.08| -1.99|03 51 34|+51 29 55|   4.00|   4.00|BDSB 60,Maj 36,Majaess 36,FSR 657,MWSC 310                                                                      |EC   |
049.40417|+43.34694|149.20|-11.94|03 17 37|+43 20 49|  11.00|  11.00|Saloranta J0317+4320                                                                                            |Ast  |OCC
057.26250|+50.79139|149.22| -2.79|03 49 03|+50 47 29|  19.00|  19.00|HD 23552                                                                                                        |Ast  |
061.81667|+53.99139|149.26|  1.45|04 07 16|+53 59 29|   5.00|   5.00|Cmg 829                                                                                                         |EC   |
050.78750|+44.76306|149.26|-10.22|03 23 09|+44 45 47|  27.00|  27.00|Teutsch 175,Teutsch J0323.1+4445                                                                                |OCC  |lPOCR
113.32500|+66.71667|149.28| 28.86|07 33 18|+66 43 00| 144.00| 144.00|Teutsch J0733.3+6643                                                                                            |Ast  |
053.46250|+47.40417|149.28| -6.99|03 33 51|+47 24 15|   4.00|   4.00|Teutsch J0333.8+4724                                                                                            |lPOCR|Ast
059.21667|+51.81417|149.51| -1.22|03 56 52|+51 48 51|   9.00|   9.00|Cmg 830                                                                                                         |EC   |
061.60417|+53.36361|149.59|  0.90|04 06 25|+53 21 49|   2.50|   2.50|Cmg 831,Froebrich 3                                                                                             |EC   |
060.56667|+52.58750|149.64| -0.10|04 02 16|+52 35 15|   7.00|   4.00|Teutsch J0402.2+5235                                                                                            |OCC  |Ast
062.00417|+53.55333|149.64|  1.20|04 08 01|+53 33 12|   5.00|   5.00|Cmg 832                                                                                                         |EC   |
062.30833|+53.65528|149.70|  1.40|04 09 14|+53 39 19|   4.00|   4.00|Cmg 833                                                                                                         |EC   |
064.80000|+55.15667|149.72|  3.48|04 19 12|+55 09 24|   5.00|   5.00|Cmg 834                                                                                                         |EC   |
060.57917|+52.44000|149.74| -0.20|04 02 19|+52 26 24|   2.40|   2.40|Juchert 19,DSH J0402.3+5226,SAI 33,MWSC 327                                                                     |EC   |
059.19583|+51.43278|149.75| -1.52|03 56 47|+51 25 58|   1.00|   1.00|Cmg 835                                                                                                         |EC   |
059.78750|+51.78194|149.80| -1.01|03 59 09|+51 46 55|   7.00|   7.00|King 7,OCL 395,FSR 658,MWSC 321                                                                                 |EC   |
041.97917|+32.21861|149.83|-24.50|02 47 55|+32 13 07|   8.00|   8.00|Cmg 4                                                                                                           |OCC  |
061.12500|+52.66528|149.84|  0.19|04 04 30|+52 39 55|   6.00|   5.00|NGC 1496,Collinder 44,OCL 396,FSR 659,MWSC 333                                                                  |EC   |
107.22917|+65.96500|149.88| 26.36|07 08 55|+65 57 54|  14.00|  14.00|Santa 23                                                                                                        |Ast  |
062.02917|+53.14333|149.93|  0.91|04 08 07|+53 08 36|   2.00|   1.50|Teutsch 0408+53                                                                                                 |OCC  |Ast
064.70833|+54.63306|150.05|  3.07|04 18 50|+54 37 59|   6.00|   6.00|Cmg 836                                                                                                         |OC   |
059.99167|+51.55667|150.05| -1.11|03 59 58|+51 33 24|   5.00|   5.00|Cmg 440                                                                                                         |EC   |
062.51667|+53.26889|150.06|  1.20|04 10 04|+53 16 08|   6.00|   6.00|Cmg 837                                                                                                         |EC   |
060.65833|+51.93222|150.11| -0.55|04 02 38|+51 55 56|   5.00|   5.00|FSR 660,SAI 34,MWSC 328                                                                                         |OC   |
062.05833|+52.89500|150.11|  0.73|04 08 14|+52 53 42|   6.00|   6.00|Cmg 838                                                                                                         |EC   |
085.56667|+62.68444|150.12| 16.48|05 42 16|+62 41 04|   8.00|   8.00|FSR 661,MWSC 644                                                                                                |Ast  |lPOCR
061.32083|+52.35972|150.13|  0.04|04 05 17|+52 21 35|   7.00|   7.00|Cmg 839                                                                                                         |EC   |
066.12500|+54.96694|150.39|  3.89|04 24 30|+54 58 01|  10.00|  10.00|FSR 662                                                                                                         |EC   |
060.82500|+51.49361|150.48| -0.81|04 03 18|+51 29 37|   4.00|   3.00|Cmg 441                                                                                                         |EC   |
061.53333|+51.90000|150.55| -0.21|04 06 08|+51 54 00|   7.00|   7.00|FSR 663,MWSC 337                                                                                                |OC   |
053.07083|+44.84000|150.56| -9.23|03 32 17|+44 50 24|  20.00|  20.00|ASCC 11,Teutsch J0332.2+4450,MWSC 284                                                                           |OC   |
056.54583|+48.01000|150.58| -5.26|03 46 11|+48 00 36|   2.00|   2.00|Alessi J0346.1+4800                                                                                             |cPOCR|OCC
060.82083|+51.32639|150.59| -0.94|04 03 17|+51 19 35|   4.50|   3.50|BDSB 61,MWSC 330                                                                                                |EC   |
060.82917|+51.29944|150.61| -0.96|04 03 19|+51 17 58|  25.00|  20.00|Maj 41,Majaess 41                                                                                               |EC   |
066.79167|+55.01639|150.62|  4.20|04 27 10|+55 00 59|  10.00|  10.00|Cmg 840                                                                                                         |OCC  |
061.05833|+51.38222|150.66| -0.80|04 04 14|+51 22 56|   5.00|   5.00|Cmg 442,Froebrich 142                                                                                           |EC   |
061.30000|+51.52222|150.68| -0.59|04 05 12|+51 31 20|   7.00|   7.00|FSR 665,MWSC 334                                                                                                |EC   |
158.27917|-58.48000|150.75| 50.51|10 33 07|-58 28 48|  14.00|  14.00|ASCC 60,MWSC 1823                                                                                               |OC   |
061.46250|+51.47639|150.79| -0.56|04 05 51|+51 28 35|   7.00|   7.00|FSR 666,MWSC 336                                                                                                |EC   |
061.48750|+51.45139|150.81| -0.57|04 05 57|+51 27 05|   0.50|   0.50|Froebrich 2                                                                                                     |EC   |
066.24583|+54.41667|150.83|  3.55|04 24 59|+54 25 00|  10.00|  10.00|Cmg 841                                                                                                         |OC   |
064.63333|+53.43361|150.86|  2.19|04 18 32|+53 26 01|   5.00|   5.00|Cmg 842,Froebrich 4                                                                                             |EC   |
060.95833|+51.01528|150.86| -1.12|04 03 50|+51 00 55|   1.30|   1.30|WWH 1,BDSB 62,Maj 42,Majaess 42,MWSC 332                                                                        |EC   |
064.85417|+53.55333|150.87|  2.36|04 19 25|+53 33 12|  12.00|  12.00|Cmg 843                                                                                                         |OCC  |
060.42083|+50.49250|150.95| -1.73|04 01 41|+50 29 33|   5.00|   5.00|Cmg 844                                                                                                         |EC   |
061.80000|+51.41472|150.98| -0.47|04 07 12|+51 24 53|   5.00|   5.00|BDSB 63,KKC 4,Maj 44,Majaess 44,MWSC 342                                                                        |EC   |
061.49167|+51.10194|151.05| -0.83|04 05 58|+51 06 07|   6.00|   6.00|CBB 10                                                                                                          |EC   |
061.78333|+51.18722|151.13| -0.64|04 07 08|+51 11 14|   3.00|   3.00|Cmg 443                                                                                                         |EC   |
061.78750|+51.15278|151.14| -0.65|04 07 09|+51 09 10|   8.00|   6.00|Patchick 16,FSR 667,MWSC 341                                                                                    |OC   |
061.95417|+51.25639|151.16| -0.52|04 07 49|+51 15 23|   5.00|   5.00|Cmg 444                                                                                                         |EC   |
063.04167|+51.97222|151.17|  0.46|04 12 10|+51 58 20|   6.00|   6.00|Cmg 845                                                                                                         |EC   |
064.94167|+53.16389|151.18|  2.12|04 19 46|+53 09 50|   3.00|   2.50|Mayer 2,OCL 396.1,MWSC 365                                                                                      |EC   |
064.47917|+52.82806|151.22|  1.67|04 17 55|+52 49 41|  10.00|  10.00|Maj 46,Majaess 46                                                                                               |EC   |
162.67083|+56.15056|151.26| 53.82|10 50 41|+56 09 02|  17.00|  14.00|Harrington 19,Broken Engagement Ring,Ramakers 51                                                                |Ast  |lPOCR
064.65000|+52.86389|151.27|  1.79|04 18 36|+52 51 50|   5.00|   5.00|Waterloo 1,MWSC 359                                                                                             |EC   |
064.88750|+52.97833|151.29|  1.97|04 19 33|+52 58 42|   3.00|   3.00|BDSB 64,MWSC 364                                                                                                |EC   |
162.64167|+56.12667|151.31| 53.83|10 50 34|+56 07 36|  17.00|  17.00|Sachariassen 1                                                                                                  |Ast  |
064.60417|+52.75722|151.32|  1.69|04 18 25|+52 45 26|   5.00|   5.00|Cmg 846                                                                                                         |EC   |
064.88750|+52.85583|151.37|  1.88|04 19 33|+52 51 21|   6.00|   6.00|Cmg 847                                                                                                         |EC   |
064.26250|+52.43167|151.40|  1.31|04 17 03|+52 25 54|   7.00|   7.00|Cmg 848                                                                                                         |ECC  |
067.41250|+54.22472|151.45|  3.91|04 29 39|+54 13 29|   9.00|   9.00|Cmg 849                                                                                                         |OCC  |
061.44583|+50.41750|151.49| -1.36|04 05 47|+50 25 03|   7.00|   7.00|Cmg 850,Froebrich 79                                                                                            |EC   |
065.67083|+53.12417|151.52|  2.40|04 22 41|+53 07 27|   6.00|   6.00|Teutsch 195                                                                                                     |EC   |
061.66667|+50.51611|151.53| -1.19|04 06 40|+50 30 58|   7.00|   7.00|Cmg 851                                                                                                         |EC   |
062.79167|+51.20472|151.58| -0.20|04 11 10|+51 12 17|  17.00|  12.00|LMR 139                                                                                                         |Assoc|
062.77917|+51.17389|151.60| -0.23|04 11 07|+51 10 26|   5.00|   5.00|BDSB 65,FSR 668,MWSC 349                                                                                        |EC   |
061.88333|+50.51333|151.63| -1.10|04 07 32|+50 30 48|   6.00|   6.00|Cmg 853                                                                                                         |EC   |
066.95833|+53.71917|151.63|  3.37|04 27 50|+53 43 09|   7.00|   7.00|Cmg 852,Froebrich 81                                                                                            |EC   |
067.67083|+54.04806|151.68|  3.90|04 30 41|+54 02 53|   3.00|   3.00|Juchert J0430.6+5402                                                                                            |OCC  |Ast
065.70000|+52.90556|151.69|  2.26|04 22 48|+52 54 20|   6.00|   6.00|Cmg 854                                                                                                         |EC   |
062.05000|+50.52472|151.70| -1.02|04 08 12|+50 31 29|   6.00|   6.00|Cmg 445                                                                                                         |EC   |
062.04167|+50.52417|151.70| -1.02|04 08 10|+50 31 27|  22.00|  22.00|Maj 45,Majaess 45                                                                                               |EC   |
067.00833|+53.62639|151.72|  3.33|04 28 02|+53 37 35|   6.00|   6.00|Cmg 855                                                                                                         |EC   |
063.87500|+51.70722|151.73|  0.63|04 15 30|+51 42 26|   7.00|   7.00|Cmg 856                                                                                                         |EC   |
061.71250|+50.14972|151.79| -1.44|04 06 51|+50 08 59|   5.00|   5.00|Cmg 857                                                                                                         |EC   |
051.31667|+40.90000|151.80|-13.19|03 25 16|+40 54 00|  66.00|  66.00|Alessi J0325.2+4054                                                                                             |Ast  |
069.18750|+54.65083|151.83|  4.96|04 36 45|+54 39 03|   7.00|   7.00|Cmg 858                                                                                                         |EC   |
085.70417|+60.85861|151.83| 15.69|05 42 49|+60 51 31|   7.00|   7.00|Cmg 5                                                                                                           |EC   |
061.08333|+49.63333|151.84| -2.10|04 04 20|+49 38 00|   5.00|   5.00|Teutsch J0404.3+4938                                                                                            |lPOCR|Ast
086.39167|+61.02667|151.84| 16.06|05 45 34|+61 01 36|   8.00|   8.00|Cmg 6                                                                                                           |EC   |
067.27083|+53.45778|151.95|  3.32|04 29 05|+53 27 28|   7.00|   7.00|Cmg 859                                                                                                         |EC   |
086.57917|+60.94583|151.96| 16.11|05 46 19|+60 56 45|  12.00|  12.00|Cmg 7                                                                                                           |ECC  |
085.52083|+60.65861|151.97| 15.52|05 42 05|+60 39 31|   5.00|   5.00|Cmg 8                                                                                                           |EC   |
061.36250|+49.63972|151.97| -1.97|04 05 27|+49 38 23|   5.00|   5.00|Cmg 860                                                                                                         |EC   |
063.86250|+51.22500|152.05|  0.27|04 15 27|+51 13 30|  24.00|  24.00|NGC 1528,Melotte 23,Collinder 47,OCL 397,MWSC 353                                                               |OC   |
086.78333|+60.82000|152.12| 16.14|05 47 08|+60 49 12|   6.00|   6.00|Cmg 9                                                                                                           |EGr  |
062.11667|+49.88250|152.16| -1.47|04 08 28|+49 52 57|   6.00|   6.00|Cmg 861                                                                                                         |EC   |
096.13750|+62.63111|152.19| 20.92|06 24 33|+62 37 52|  19.00|  19.00|MWSC 5011                                                                                                       |OC   |
013.19583|-26.59000|152.28|-89.38|00 52 47|-26 35 24|  15.00|  15.00|NGC 288,GCL 2,ESO 474-37,MWSC 84                                                                                |GC   |
071.56250|+55.23000|152.29|  6.37|04 46 15|+55 13 48|  27.00|  27.00|Alessi 2,LeDrew 4,MWSC 419                                                                                      |OC   |
086.25833|+60.49333|152.30| 15.76|05 45 02|+60 29 36|   6.00|   6.00|Cmg 10                                                                                                          |EGr  |
063.56667|+50.62500|152.34| -0.29|04 14 16|+50 37 30|   6.00|   6.00|Cmg 875                                                                                                         |EC   |
078.86667|+58.19694|152.34| 11.35|05 15 28|+58 11 49|   8.00|   8.00|FSR 670,MWSC 492                                                                                                |OC   |
063.56667|+50.62500|152.34| -0.29|04 14 16|+50 37 30|   1.70|   1.70|Teutsch 130,DSH J0414.2+5037A                                                                                   |OC   |
065.60000|+51.87611|152.37|  1.49|04 22 24|+51 52 34|   1.00|   1.00|YED 2,IRAS 04186+5143NW                                                                                         |EC   |
065.60833|+51.84472|152.40|  1.48|04 22 26|+51 50 41|   1.00|   1.00|YED 3,IRAS 04186+5143W                                                                                          |EC   |
065.69583|+51.90000|152.40|  1.55|04 22 47|+51 54 00|   2.00|   2.00|Bica 241                                                                                                        |EC   |
070.37500|+54.50889|152.40|  5.38|04 41 30|+54 30 32|   7.00|   7.00|Cmg 862                                                                                                         |OC   |
065.63750|+51.84167|152.41|  1.48|04 22 33|+51 50 30|   7.00|   7.00|FSR 671,MWSC 671                                                                                                |EC   |
065.63333|+51.84417|152.41|  1.49|04 22 32|+51 50 39|   2.00|   2.00|YED 1,IRAS 04186+5143E                                                                                          |EC   |
065.62083|+51.84306|152.41|  1.48|04 22 29|+51 50 35|   0.50|   0.50|YED 4,IRAS 04186+5143C                                                                                          |EC   |
069.11667|+53.83167|152.42|  4.38|04 36 28|+53 49 54|   4.50|   4.50|Cmg 863                                                                                                         |EC   |
061.29167|+48.84611|152.46| -2.59|04 05 10|+48 50 46|   4.00|   4.00|HD 25485 Group                                                                                                  |lPOCR|Ast
064.82917|+51.23806|152.48|  0.70|04 19 19|+51 14 17|   7.00|   7.00|Cmg 864                                                                                                         |EC   |
063.84167|+50.57639|152.49| -0.21|04 15 22|+50 34 35|   4.50|   4.50|Cmg 865,Froebrich 83                                                                                            |EC   |
077.19167|+57.40167|152.49| 10.16|05 08 46|+57 24 06|  60.00|  60.00|Alessi 134                                                                                                      |Ast  |
065.36667|+51.45167|152.57|  1.09|04 21 28|+51 27 06|   5.00|   5.00|Cmg 867                                                                                                         |EC   |
065.08750|+51.28333|152.57|  0.85|04 20 21|+51 17 00|   5.00|   5.00|Cmg 866                                                                                                         |EC   |
062.47500|+49.48472|152.60| -1.60|04 09 54|+49 29 05|   8.00|   8.00|NGC 1513,Collinder 46,OCL 398,MWSC 346                                                                          |EC   |
067.32083|+52.57333|152.61|  2.74|04 29 17|+52 34 24|   6.00|   6.00|Cmg 868                                                                                                         |EC   |
059.83333|+47.38611|152.69| -4.34|03 59 20|+47 23 10|   4.50|   4.50|Teutsch 56,DSH J0359.3+4723                                                                                     |lPOCR|
061.74583|+48.83778|152.69| -2.40|04 06 59|+48 50 16|   7.00|   7.00|Cmg 869                                                                                                         |EC   |
070.56667|+54.21417|152.70|  5.27|04 42 16|+54 12 51|   6.00|   6.00|Cmg 870                                                                                                         |EC   |
058.17500|+45.96944|152.74| -6.15|03 52 42|+45 58 10|   5.00|   5.00|Ferrero 53,Teutsch J0352+4558                                                                                   |lPOCR|Ast
058.19583|+45.95611|152.76| -6.15|03 52 47|+45 57 22|  56.00|  56.00|Teutsch 176                                                                                                     |OCC  |
068.51250|+53.01750|152.78|  3.57|04 34 03|+53 01 03|   6.00|   6.00|Cmg 871                                                                                                         |EC   |
065.05000|+50.91861|152.81|  0.57|04 20 12|+50 55 07|   6.00|   6.00|Cmg 872                                                                                                         |EC   |
067.80833|+52.50361|152.86|  2.90|04 31 14|+52 30 13|   5.00|   5.00|Cmg 873                                                                                                         |EC   |
067.24583|+51.75806|153.17|  2.14|04 28 59|+51 45 29|   4.00|   4.00|Cmg 874,Froebrich 5                                                                                             |EC   |
058.50000|+45.54500|153.18| -6.33|03 54 00|+45 32 42|   9.00|   7.00|Ferrero 8,DSH J0354.0+4532                                                                                      |lPOCR|OCC
065.21667|+50.25139|153.35|  0.17|04 20 52|+50 15 05|  18.00|  18.00|NGC 1545,Collinder 49,OCL 399,MWSC 369                                                                          |OC   |
102.25000|+62.31667|153.38| 23.54|06 49 00|+62 19 00|   8.00|   8.00|Zanin 13                                                                                                        |Ast  |
068.65417|+52.25528|153.40|  3.11|04 34 37|+52 15 19|   6.00|   6.00|Cmg 876                                                                                                         |EC   |
063.08750|+48.73528|153.41| -1.88|04 12 21|+48 44 07|   5.00|   5.00|FSR 674,MWSC 350                                                                                                |OC   |
